cod.	documento	qtd.	ug	data	doc. p/ serv.		
DF		43	158134	18/11/2023			
ND		12	158134	20/11/2023			
RO		12	158134	20/11/2023			
OB		367	158134	20/11/2023			
PF		5	158134	20/11/2023			
DF		3	158134	20/11/2023			
NS		440	158134	20/11/2023			
NS		1	158394	20/11/2023			
OB		1	154679	20/11/2023			
NS		2	154679	20/11/2023			
NS		3	158393	20/11/2023			
OB		13	152430	20/11/2023			
PF		1	152430	20/11/2023			
NS		26	152430	20/11/2023			
OB		2	152420	20/11/2023			
DF		2	152420	20/11/2023			
PF		1	152420	20/11/2023			
NS		3	152420	20/11/2023			
NS		1	158392	20/11/2023			
ND		14	158134	21/11/2023			
RO		18	158134	21/11/2023			
OB		212	158134	21/11/2023			
PF		2	158134	21/11/2023			
DF		1	158134	21/11/2023			
NS		222	158134	21/11/2023			
OB		3	152420	21/11/2023			
DF		6	152420	21/11/2023			
NS		4	152420	21/11/2023			
OB		5	152430	21/11/2023			
NS		11	152430	21/11/2023			
NS		1	152426	21/11/2023			
ND		1	158393	21/11/2023			
NC		1	158393	21/11/2023			
RO		1	158393	21/11/2023			
OB		2	158393	21/11/2023			
DF		2	158393	21/11/2023			
NS		3	158393	21/11/2023			
NS		1	154679	21/11/2023			
ND		1	158394	21/11/2023			
NC		1	158394	21/11/2023			
RO		1	158394	21/11/2023			
OB		5	158394	21/11/2023			
DF		4	158394	21/11/2023			
PF		1	158394	21/11/2023			
NS		6	158394	21/11/2023			
OB		1	154681	21/11/2023			
NS		4	154681	21/11/2023			
ND		18	158134	22/11/2023			
NC		5	158134	22/11/2023			
RO		13	158134	22/11/2023			
OB		24	158134	22/11/2023			
PF		4	158134	22/11/2023			
DF		5	158134	22/11/2023			
NS		119	158134	22/11/2023			
NS		5	158392	22/11/2023			
ND		6	152420	22/11/2023			
NC		2	152420	22/11/2023			
RO		7	152420	22/11/2023			
OB		1	152420	22/11/2023			
DF		1	152420	22/11/2023			
NS		2	152420	22/11/2023			
NS		2	152430	22/11/2023			
OB		3	152426	22/11/2023			
DF		4	152426	22/11/2023			
PF		1	152426	22/11/2023			
NS		7	152426	22/11/2023			
OB		3	158393	22/11/2023			
DF		2	158393	22/11/2023			
NS		10	158393	22/11/2023			
DR		1	158393	22/11/2023			
NS		1	154679	22/11/2023			
ND		2	158394	22/11/2023			
NC		1	158394	22/11/2023			
RO		2	158394	22/11/2023			
NS		2	158394	22/11/2023			
OB		1	154680	22/11/2023			
DF		2	154680	22/11/2023			
NS		2	154680	22/11/2023			
ND		1	154681	22/11/2023			
RO		1	154681	22/11/2023			
DF		2	154681	22/11/2023			
PF		1	154681	22/11/2023			
NS		6	154681	22/11/2023			
ND		17	158134	23/11/2023			
NC		3	158134	23/11/2023			
RO		13	158134	23/11/2023			
OB		126	158134	23/11/2023			
PF		4	158134	23/11/2023			
NS		525	158134	23/11/2023			
ND		3	158392	23/11/2023			
NC		1	158392	23/11/2023			
RO		1	158392	23/11/2023			
NS		7	158392	23/11/2023			
NS		2	152420	23/11/2023			
NS		4	152430	23/11/2023			
OB		3	152426	23/11/2023			
NS		4	152426	23/11/2023			
ND		4	158393	23/11/2023			
NC		3	158393	23/11/2023			
RO		5	158393	23/11/2023			
OB		6	158393	23/11/2023			
PF		1	158393	23/11/2023			
NS		10	158393	23/11/2023			
DR		1	158393	23/11/2023			
NS		1	154679	23/11/2023			
ND		4	158394	23/11/2023			
NC		4	158394	23/11/2023			
RO		5	158394	23/11/2023			
OB		5	158394	23/11/2023			
DF		1	158394	23/11/2023			
PF		1	158394	23/11/2023			
NS		8	158394	23/11/2023			
OB		1	154681	23/11/2023			
NS		2	154681	23/11/2023			
ND		12	158134	24/11/2023			
NC		4	158134	24/11/2023			
RO		20	158134	24/11/2023			
OB		64	158134	24/11/2023			
DF		2	158134	24/11/2023			
PF		1	158134	24/11/2023			
NS		114	158134	24/11/2023			
DR		1	158134	24/11/2023			
OB		1	158392	24/11/2023			
NS		1	158392	24/11/2023			
OB		2	152420	24/11/2023			
NS		1	152420	24/11/2023			
RO		1	152430	24/11/2023			
OB		1	152430	24/11/2023			
NS		1	152430	24/11/2023			
ND		2	152426	24/11/2023			
RO		2	152426	24/11/2023			
OB		1	152426	24/11/2023			
NS		1	152426	24/11/2023			
OB		1	158393	24/11/2023			
NS		1	158393	24/11/2023			
NS		1	154679	24/11/2023			
ND		1	158394	24/11/2023			
RO		1	158394	24/11/2023			
NS		1	158394	24/11/2023			
NS		2	154680	24/11/2023			
OB		1	154681	24/11/2023			
NS		3	154681	24/11/2023			
ND		22	158134	27/11/2023			
NC		2	158134	27/11/2023			
RO		15	158134	27/11/2023			
OB		7	158134	27/11/2023			
PF		15	158134	27/11/2023			
NS		108	158134	27/11/2023			
NS		4	152420	27/11/2023			
OB		8	152430	27/11/2023			
NS		14	152430	27/11/2023			
PF		1	152426	27/11/2023			
NS		2	152426	27/11/2023			
OB		3	158393	27/11/2023			
NS		12	158393	27/11/2023			
OB		2	154679	27/11/2023			
DF		1	154679	27/11/2023			
PF		2	154679	27/11/2023			
NS		10	154679	27/11/2023			
ND		3	158394	27/11/2023			
NC		2	158394	27/11/2023			
RO		3	158394	27/11/2023			
OB		3	158394	27/11/2023			
DF		2	158394	27/11/2023			
PF		2	158394	27/11/2023			
NS		6	158394	27/11/2023			
OB		4	154680	27/11/2023			
DF		1	154680	27/11/2023			
PF		1	154680	27/11/2023			
NS		7	154680	27/11/2023			
RO		1	154681	27/11/2023			
OB		4	154681	27/11/2023			
DF		2	154681	27/11/2023			
PF		1	154681	27/11/2023			
NS		12	154681	27/11/2023			
ND		48	158134	28/11/2023			
RO		30	158134	28/11/2023			
OB		31	158134	28/11/2023			
PF		6	158134	28/11/2023			
DF		8	158134	28/11/2023			
NS		84	158134	28/11/2023			
DR		1	158134	28/11/2023			
DF		1	158392	28/11/2023			
PF		1	158392	28/11/2023			
NS		2	158392	28/11/2023			
OB		4	152420	28/11/2023			
DF		1	152420	28/11/2023			
NS		7	152420	28/11/2023			
DF		2	152430	28/11/2023			
PF		2	152430	28/11/2023			
NS		5	152430	28/11/2023			
OB		4	152426	28/11/2023			
DF		1	152426	28/11/2023			
NS		4	152426	28/11/2023			
ND		4	158393	28/11/2023			
NC		3	158393	28/11/2023			
RO		3	158393	28/11/2023			
OB		4	158393	28/11/2023			
NS		11	158393	28/11/2023			
DF		2	154679	28/11/2023			
NS		5	154679	28/11/2023			
OB		6	158394	28/11/2023			
DF		3	158394	28/11/2023			
NS		4	158394	28/11/2023			
DF		1	154681	28/11/2023			
NS		4	154681	28/11/2023			
ND		40	158134	29/11/2023			
NC		8	158134	29/11/2023			
RO		23	158134	29/11/2023			
OB		1	158134	29/11/2023			
DF		8	158134	29/11/2023			
PF		9	158134	29/11/2023			
NS		95	158134	29/11/2023			
ND		3	158392	29/11/2023			
RO		2	158392	29/11/2023			
OB		1	158392	29/11/2023			
NS		1	158392	29/11/2023			
OB		3	152420	29/11/2023			
DF		1	152420	29/11/2023			
PF		1	152420	29/11/2023			
NS		5	152420	29/11/2023			
RO		3	152430	29/11/2023			
OB		8	152430	29/11/2023			
DF		4	152430	29/11/2023			
NS		13	152430	29/11/2023			
NS		1	152426	29/11/2023			
ND		3	158393	29/11/2023			
NC		1	158393	29/11/2023			
RO		3	158393	29/11/2023			
OB		2	158393	29/11/2023			
DF		1	158393	29/11/2023			
PF		1	158393	29/11/2023			
NS		3	158393	29/11/2023			
DR		1	158393	29/11/2023			
OB		5	154679	29/11/2023			
ND		2	154680	29/11/2023			
RO		1	154680	29/11/2023			
NS		1	154680	29/11/2023			
OB		6	154681	29/11/2023			
NS		1	154681	29/11/2023			
ND		30	158134	30/11/2023			
NC		2	158134	30/11/2023			
RO		28	158134	30/11/2023			
OB		92	158134	30/11/2023			
PF		2	158134	30/11/2023			
DF		13	158134	30/11/2023			
NS		453	158134	30/11/2023			
DR		1	158134	30/11/2023			
GR		5	158134	30/11/2023			
PF		1	158392	30/11/2023			
NS		5	158392	30/11/2023			
OB		1	152420	30/11/2023			
NS		2	152420	30/11/2023			
OB		7	152430	30/11/2023			
DF		1	152430	30/11/2023			
NS		12	152430	30/11/2023			
DF		1	152426	30/11/2023			
PF		1	152426	30/11/2023			
NS		5	152426	30/11/2023			
OB		1	158393	30/11/2023			
NS		3	158393	30/11/2023			
ND		1	154679	30/11/2023			
RO		1	154679	30/11/2023			
OB		1	154679	30/11/2023			
DF		1	154679	30/11/2023			
NS		4	154679	30/11/2023			
ND		2	158394	30/11/2023			
RO		3	158394	30/11/2023			
NS		1	158394	30/11/2023			
RO		2	154680	30/11/2023			
OB		5	154680	30/11/2023			
DF		2	154680	30/11/2023			
NS		8	154680	30/11/2023			
OB		6	154681	30/11/2023			
DF		2	154681	30/11/2023			
NS		11	154681	30/11/2023			
ND		16	158134	01/12/2023			
RO		16	158134	01/12/2023			
OB		309	158134	01/12/2023			
DF		1	158134	01/12/2023			
NS		314	158134	01/12/2023			
OB		2	158392	01/12/2023			
NS		4	158392	01/12/2023			
NS		2	152420	01/12/2023			
OB		4	152430	01/12/2023			
DF		2	152430	01/12/2023			
NS		9	152430	01/12/2023			
OB		4	152426	01/12/2023			
NS		1	152426	01/12/2023			
OB		1	158393	01/12/2023			
DF		1	158393	01/12/2023			
NS		5	158393	01/12/2023			
OB		2	154679	01/12/2023			
NS		3	154679	01/12/2023			
OB		2	154681	01/12/2023			
DF		2	154681	01/12/2023			
NS		2	154681	01/12/2023			
ND		17	158134	04/12/2023			
NC		1	158134	04/12/2023			
RO		13	158134	04/12/2023			
OB		96	158134	04/12/2023			
DF		2	158134	04/12/2023			
PF		3	158134	04/12/2023			
NS		390	158134	04/12/2023			
DR		1	158134	04/12/2023			
OB		1	158392	04/12/2023			
PF		1	158392	04/12/2023			
NS		2	158392	04/12/2023			
OB		2	152420	04/12/2023			
NS		2	152420	04/12/2023			
NS		5	152430	04/12/2023			
NS		4	158393	04/12/2023			
OB		3	154679	04/12/2023			
DF		1	154679	04/12/2023			
NS		3	154679	04/12/2023			
NS		1	158394	04/12/2023			
OB		3	154680	04/12/2023			
DF		1	154680	04/12/2023			
NS		6	154680	04/12/2023			
ND		1	154681	04/12/2023			
OB		1	154681	04/12/2023			
NS		2	154681	04/12/2023			
ND		8	158134	05/12/2023			
RO		9	158134	05/12/2023			
OB		273	158134	05/12/2023			
DF		2	158134	05/12/2023			
NS		472	158134	05/12/2023			
OB		1	158392	05/12/2023			
NS		3	158392	05/12/2023			
NS		2	152420	05/12/2023			
OB		3	152430	05/12/2023			
NS		4	152430	05/12/2023			
OB		1	154681	05/12/2023			
DF		1	154681	05/12/2023			
NS		2	154681	05/12/2023			
OB		3	158393	05/12/2023			
NS		4	158393	05/12/2023			
DF		1	154679	05/12/2023			
NS		2	154679	05/12/2023			
NS		2	158394	05/12/2023			
OB		1	154681	05/12/2023			
DF		1	154681	05/12/2023			
NS		2	154681	05/12/2023			
ND		25	158134	06/12/2023			
NC		1	158134	06/12/2023			
RO		24	158134	06/12/2023			
OB		266	158134	06/12/2023			
PF		4	158134	06/12/2023			
NS		220	158134	06/12/2023			
ND		1	158392	06/12/2023			
NC		1	158392	06/12/2023			
RO		1	158392	06/12/2023			
NS		3	158392	06/12/2023			
ND		1	152420	06/12/2023			
NC		1	152420	06/12/2023			
RO		1	152420	06/12/2023			
ND		2	152430	06/12/2023			
NC		2	152430	06/12/2023			
RO		2	152430	06/12/2023			
PF		1	152430	06/12/2023			
NS		4	152430	06/12/2023			
NS		2	152426	06/12/2023			
RO		3	158393	06/12/2023			
OB		2	158393	06/12/2023			
DF		2	158393	06/12/2023			
PF		1	158393	06/12/2023			
NS		2	158393	06/12/2023			
DR		1	158393	06/12/2023			
RO		1	154681	06/12/2023			
NS		2	158134	06/12/2023			
ND		24	158134	07/12/2023			
NC		1	158134	07/12/2023			
RO		22	158134	07/12/2023			
OB		24	158134	07/12/2023			
NS		242	158134	07/12/2023			
ND		25	158134	08/12/2023			
NC		4	158134	08/12/2023			
RO		4	158134	08/12/2023			
OB		68	158134	08/12/2023			
NS		10	158134	08/12/2023			
RO		1	158392	08/12/2023			
OB		1	158392	07/12/2023			
NS		4	158392	07/12/2023			
ND		1	152420	08/12/2023			
RO		1	152420	08/12/2023			
OB		7	152420	08/12/2023			
NS		15	152420	08/12/2023			
OB		3	152430	07/12/2023			
NS		4	152430	07/12/2023			
ND		4	152430	08/12/2023			
NC		2	152430	08/12/2023			
RO		5	152430	08/12/2023			
ND		1	152426	08/12/2023			
RO		1	152426	08/12/2023			
ND		1	158393	07/12/2023			
RO		2	158393	07/12/2023			
NS		1	158393	07/12/2023			
ND		1	158393	07/12/2023			
NC		1	158393	08/12/2023			
RO		1	158393	08/12/2023			
OB		1	158393	08/12/2023			
OB		1	154679	07/12/2023			
NS		1	154679	07/12/2023			
NS		1	154681	07/12/2023			
ND		33	158134	11/12/2023			
NC		4	158134	11/12/2023			
RO		27	158134	11/12/2023			
OB		34	158134	11/12/2023			
DF		13	158134	11/12/2023			
PF		1	158134	11/12/2023			
NS		70	158134	11/12/2023			
ND		18	158134	09/12/2023			
NC		1	158134	09/12/2023			
RO		37	158134	09/12/2023			
ND		1	158392	11/12/2023			
NC		1	158392	11/12/2023			
RO		1	158392	11/12/2023			
OB		2	158392	11/12/2023			
DF		2	158392	11/12/2023			
NS		3	158392	11/12/2023			
ND		1	152420	11/12/2023			
RO		1	152420	11/12/2023			
OB		5	152420	11/12/2023			
NS		13	152420	11/12/2023			
ND		1	152430	11/12/2023			
RO		1	152430	11/12/2023			
OB		8	152430	11/12/2023			
DF		3	152430	11/12/2023			
NS		15	152430	11/12/2023			
NS		4	152426	11/12/2023			
OB		3	158393	11/12/2023			
NS		11	158393	11/12/2023			
ND		2	154679	11/12/2023			
NC		1	154679	11/12/2023			
RO		2	154679	11/12/2023			
DF		1	154679	11/12/2023			
NS		4	154679	11/12/2023			
ND		2	158394	11/12/2023			
NC		1	158394	11/12/2023			
RO		2	158394	11/12/2023			
OB		4	154680	11/12/2023			
NS		6	154680	11/12/2023			
NS		2	154681	11/12/2023			
ND		55	158134	12/12/2023			
NC		1	158134	12/12/2023			
RO		85	158134	12/12/2023			
OB		157	158134	12/12/2023			
DF		12	158134	12/12/2023			
PF		2	158134	12/12/2023			
NS		401	158134	12/12/2023			
DR		2	158134	12/12/2023			
ND		1	158392	12/12/2023			
NC		1	158392	12/12/2023			
RO		2	158392	12/12/2023			
NS		5	158392	12/12/2023			
NS		1	152420	12/12/2023			
OB		4	152430	12/12/2023			
DF		5	152430	12/12/2023			
NS		4	152430	12/12/2023			
ND		1	158393	12/12/2023			
NC		1	158393	12/12/2023			
RO		1	158393	12/12/2023			
NS		7	158393	12/12/2023			
OB		4	154679	12/12/2023			
DF		3	154679	12/12/2023			
NS		3	154679	12/12/2023			
OB		1	158394	12/12/2023			
DF		3	158394	12/12/2023			
NS		2	158394	12/12/2023			
OB		1	154680	12/12/2023			
DF		1	154680	12/12/2023			
NS		1	154680	12/12/2023			
DF		5	154681	12/12/2023			
NS		5	154681	12/12/2023			
ND		4	158134	13/12/2023			
OB		247	158134	13/12/2023			
DF		10	158134	13/12/2023			
PF		3	158134	13/12/2023			
NS		133	158134	13/12/2023			
NS		2	158392	13/12/2023			
DF		5	152420	13/12/2023			
NS		7	152420	13/12/2023			
OB		1	152430	13/12/2023			
DF		2	152430	13/12/2023			
NS		5	152430	13/12/2023			
OB		2	152426	13/12/2023			
DF		2	152426	13/12/2023			
NS		3	152426	13/12/2023			
NS		2	158393	13/12/2023			
OB		1	154679	13/12/2023			
DF		2	154679	13/12/2023			
NS		4	154679	13/12/2023			
OB		3	158394	13/12/2023			
DF		1	158394	13/12/2023			
NS		3	158394	13/12/2023			
NS		3	154680	13/12/2023			
NL		1	158134	15/12/2023			
OB		13	158134	15/12/2023			
DF		2	158134	15/12/2023			
NS		30	158134	15/12/2023			
NS		1	158392	15/12/2023			
OB		1	152420	15/12/2023			
NS		3	152420	15/12/2023			
OB		4	152430	15/12/2023			
NS		17	152430	15/12/2023			
NS		1	152426	15/12/2023			
ND		1	158393	15/12/2023			
NC		1	158393	15/12/2023			
RO		1	158393	15/12/2023			
OB		8	158393	15/12/2023			
NS		10	158393	15/12/2023			
NS		3	154679	15/12/2023			
NS		2	158394	15/12/2023			
OB		2	154680	15/12/2023			
NS		7	154680	15/12/2023			
NS		2	154681	15/12/2023			
ND		1	158392	18/12/2023			
NC		1	158392	18/12/2023			
RO		1	158392	18/12/2023			
OB		2	158392	18/12/2023			
DF		1	158392	18/12/2023			
NS		4	158392	18/12/2023			
DF		5	152420	18/12/2023			
NS		4	152420	18/12/2023			
OB		1	152430	18/12/2023			
NS		6	152430	18/12/2023			
NS		2	152426	18/12/2023			
NS		13	158393	18/12/2023			
ND		2	154679	18/12/2023			
NC		1	154679	18/12/2023			
RO		2	154679	18/12/2023			
NL		1	154679	18/12/2023			
OB		1	154679	18/12/2023			
NS		1	154679	18/12/2023			
DF		2	158394	18/12/2023			
NS		3	158394	18/12/2023			
NS		1	154680	18/12/2023			
OB		2	154681	18/12/2023			
ND		2	158134	18/12/2023			
RO		1	158134	18/12/2023			
OB		19	158134	18/12/2023			
DF		29	158134	18/12/2023			
PF		5	158134	18/12/2023			
NS		54	158134	18/12/2023			
ND		13	158134	19/12/2023			
NC		1	158134	19/12/2023			
RO		18	158134	19/12/2023			
OB		35	158134	19/12/2023			
DF		23	158134	19/12/2023			
PF		1	158134	19/12/2023			
NS		55	158134	19/12/2023			
DR		2	158134	19/12/2023			
ND		1	158392	19/12/2023			
RO		3	158392	19/12/2023			
NS		1	158392	19/12/2023			
OB		3	152420	19/12/2023			
DF		1	152420	19/12/2023			
NS		4	152420	19/12/2023			
OB		1	152430	19/12/2023			
NS		2	152430	19/12/2023			
NS		6	152426	19/12/2023			
OB		2	158393	19/12/2023			
DF		1	158393	19/12/2023			
NS		3	158393	19/12/2023			
NL		1	154679	19/12/2023			
NS		4	154679	19/12/2023			
OB		6	158394	19/12/2023			
DF		1	158394	19/12/2023			
NS		4	158394	19/12/2023			
OB		4	154680	19/12/2023			
NS		5	154680	19/12/2023			
OB		1	154681	19/12/2023			
DF		1	154681	19/12/2023			
NS		1	154681	19/12/2023			
ND		14	158134	20/12/2023			
NC		2	158134	20/12/2023			
RO		12	158134	20/12/2023			
OB		125	158134	20/12/2023			
DF		54	158134	20/12/2023			
PF		5	158134	20/12/2023			
NS		126	158134	20/12/2023			
OB		2	152420	20/12/2023			
DF		1	152420	20/12/2023			
NS		1	152420	20/12/2023			
RO		2	152430	20/12/2023			
OB		7	152430	20/12/2023			
NS		10	152430	20/12/2023			
OB		1	152426	20/12/2023			
DF		1	152426	20/12/2023			
PF		1	152426	20/12/2023			
NS		2	152426	20/12/2023			
OB		5	158393	20/12/2023			
DF		4	158393	20/12/2023			
NS		6	158393	20/12/2023			
DR		1	158393	20/12/2023			
ND		1	154679	20/12/2023			
RO		3	154679	20/12/2023			
NS		4	154679	20/12/2023			
NS		4	158394	20/12/2023			
ND		1	154680	20/12/2023			
NC		1	154680	20/12/2023			
RO		1	154680	20/12/2023			
DF		5	154680	20/12/2023			
PF		1	154680	20/12/2023			
NS		7	154680	20/12/2023			
OB		2	154681	20/12/2023			
NS		6	154681	20/12/2023			
ND		25	158134	21/12/2023			
RO		15	158134	21/12/2023			
OB		36	158134	21/12/2023			
DF		11	158134	21/12/2023			
NS		51	158134	21/12/2023			
NS		1	152420	21/12/2023			
NS		4	152426	21/12/2023			
NS		3	158393	21/12/2023			
OB		1	154679	21/12/2023			
NS		1	154679	21/12/2023			
OB		2	158394	21/12/2023			
DF		1	158394	21/12/2023			
NS		2	158394	21/12/2023			
ND		1	154680	21/12/2023			
NC		1	154680	21/12/2023			
RO		1	154680	21/12/2023			
OB		7	154680	21/12/2023			
NS		3	154680	21/12/2023			
RO		1	154681	21/12/2023			
ND		13	158134	22/12/2023			
NC		1	158134	22/12/2023			
RO		10	158134	22/12/2023			
OB		66	158134	22/12/2023			
DF		11	158134	22/12/2023			
NS		66	158134	22/12/2023			
ND		1	158392	22/12/2023			
NC		1	158392	22/12/2023			
RO		1	158392	22/12/2023			
OB		3	158392	22/12/2023			
DF		1	158392	22/12/2023			
NS		3	158392	22/12/2023			
NS		4	152420	22/12/2023			
NS		1	152430	22/12/2023			
NS		5	152426	22/12/2023			
NS		4	158393	22/12/2023			
NS		5	154679	22/12/2023			
NS		1	154680	22/12/2023			
ND		2	154681	22/12/2023			
NC		2	154681	22/12/2023			
RO		3	154681	22/12/2023			
ND		36	158134	25/12/2023			
RO		22	158134	25/12/2023			
OB		52	158134	25/12/2023			
DF		1	158134	25/12/2023			
PF		7	158134	25/12/2023			
NS		100	158134	25/12/2023			
NS		1	158392	25/12/2023			
OB		5	152420	25/12/2023			
DF		2	152420	25/12/2023			
PF		2	152420	25/12/2023			
NS		14	152420	25/12/2023			
OB		1	152430	25/12/2023			
DF		1	152430	25/12/2023			
NS		1	152430	25/12/2023			
NL		1	152426	25/12/2023			
NS		2	152426	25/12/2023			
OB		7	154679	25/12/2023			
DF		2	154679	25/12/2023			
PF		1	154679	25/12/2023			
NS		8	154679	25/12/2023			
NS		3	158394	25/12/2023			
NS		3	154680	25/12/2023			
ND		1	154681	25/12/2023			
NC		1	154681	25/12/2023			
RO		2	154681	25/12/2023			
OB		1	154681	25/12/2023			
DF		2	154681	25/12/2023			
NS		5	154681	25/12/2023			
ND		58	158134	26/12/2023			
NC		6	158134	26/12/2023			
RO		43	158134	26/12/2023			
OB		228	158134	26/12/2023			
PF		4	158134	26/12/2023			
DF		4	158134	26/12/2023			
NS		282	158134	26/12/2023			
ND		43	158134	27/12/2023			
NC		2	158134	27/12/2023			
RO		42	158134	27/12/2023			
OB		81	158134	27/12/2023			
PF		9	158134	27/12/2023			
DF		6	158134	27/12/2023			
NS		123	158134	27/12/2023			
DR		1	158134	27/12/2023			
NS		1	158392	26/12/2023			
ND		3	158392	27/12/2023			
NC		1	158392	27/12/2023			
RO		5	158392	27/12/2023			
NS		2	158392	27/12/2023			
OB		5	152420	26/12/2023			
DF		2	152420	26/12/2023			
PF		2	152420	26/12/2023			
NS		14	152420	26/12/2023			
ND		1	152420	27/12/2023			
NC		1	152420	27/12/2023			
RO		1	152420	27/12/2023			
OB		5	152420	27/12/2023			
NS		2	152430	27/12/2023			
OB		1	152430	26/12/2023			
DF		1	152430	26/12/2023			
NS		1	152430	26/12/2023			
NL		1	152426	26/12/2023			
NS		2	152426	26/12/2023			
RO		2	152426	26/12/2023			
OB		2	152426	26/12/2023			
DF		5	152426	26/12/2023			
NS		6	152426	26/12/2023			
ND		4	158393	27/12/2023			
NC		3	158393	27/12/2023			
RO		4	158393	27/12/2023			
OB		1	158393	27/12/2023			
NS		2	158393	27/12/2023			
DR		1	158393	27/12/2023			
OB		7	154679	27/12/2023			
DF		2	154679	26/12/2023			
PF		1	154679	26/12/2023			
NS		8	154679	26/12/2023			
ND		1	154679	27/12/2023			
NC		3	154679	27/12/2023			
RO		6	154679	27/12/2023			
OB		2	154679	27/12/2023			
DF		8	154679	27/12/2023			
NS		3	158394	26/12/2023			
NS		4	158394	27/12/2023			
NS		3	154680	26/12/2023			
ND		3	154680	27/12/2023			
NC		1	154680	27/12/2023			
RO		2	154680	27/12/2023			
NS		1	154680	27/12/2023			
OB		5	154681	27/12/2023			
NS		5	154681	27/12/2023			
ND		1	154681	26/12/2023			
NC		1	154681	26/12/2023			
RO		2	154681	26/12/2023			
OB		1	154681	26/12/2023			
DF		2	154681	26/12/2023			
NS		5	154681	26/12/2023			
ND		44	158134	28/12/2023			
NC		2	158134	28/12/2023			
RO		43	158134	28/12/2023			
OB		81	158134	28/12/2023			
DF		6	158134	28/12/2023			
PF		9	158134	28/12/2023			
NS		124	158134	28/12/2023			
DR		1	158134	28/12/2023			
ND		3	158392	28/12/2023			
NC		1	158392	28/12/2023			
RO		5	158392	28/12/2023			
NS		2	158392	28/12/2023			
ND		1	152420	28/12/2023			
NC		1	152420	28/12/2023			
RO		1	152420	28/12/2023			
OB		5	152420	28/12/2023			
NS		2	152430	28/12/2023			
RO		2	152426	28/12/2023			
OB		2	152426	28/12/2023			
DF		5	152426	28/12/2023			
NS		6	152426	28/12/2023			
ND		4	158393	28/12/2023			
NC		3	158393	28/12/2023			
RO		4	158393	28/12/2023			
OB		1	158393	28/12/2023			
NS		2	158393	28/12/2023			
DR		1	158393	28/12/2023			
ND		2	154679	28/12/2023			
NC		1	154679	28/12/2023			
RO		3	154679	28/12/2023			
OB		6	154679	28/12/2023			
DF		2	154679	28/12/2023			
NS		8	154679	28/12/2023			
NS		4	158394	28/12/2023			
ND		3	154680	28/12/2023			
NC		1	154680	28/12/2023			
RO		2	154680	28/12/2023			
NS		1	154680	28/12/2023			
OB		5	154681	28/12/2023			
NS		5	154681	28/12/2023			
ND		50	158134	29/12/2023			
NC		1	158134	29/12/2023			
RO		48	158134	29/12/2023			
OB		23	158134	29/12/2023			
DF		7	158134	29/12/2023			
PF		12	158134	29/12/2023			
NS		141	158134	29/12/2023			
GR		5	158134	29/12/2023			
NS		1	152420	29/12/2023			
ND		4	152430	29/12/2023			
NC		3	152430	29/12/2023			
RO		4	152430	29/12/2023			
DF		2	152430	29/12/2023			
NS		6	152430	29/12/2023			
DF		1	152426	29/12/2023			
NS		8	152426	29/12/2023			
NS		1	158393	29/12/2023			
NS		1	154679	29/12/2023			
OB		3	154681	29/12/2023			
NS		5	154681	29/12/2023			
ND		21	158134	30/12/2023			
NC		3	158134	30/12/2023			
RO		27	158134	30/12/2023			
NS		10	158134	30/12/2023			
ND		4	158134	31/12/2023			
NC		1	158134	31/12/2023			
RO		16	158134	31/12/2023			
NS		5	158134	31/12/2023			
RO		2	158392	30/12/2023			
NS		1	152430	31/12/2023			
NS		2	152426	30/12/2023			
NS		1	152426	31/12/2023			
RO		1	158393	30/12/2023			
NS		1	158393	30/12/2023			
NC		1	154679	30/12/2023			
NS		1	154679	30/12/2023			
NC		1	158394	30/12/2023			
RO		1	158393	30/12/2023			
NS		1	158393	30/12/2023			
NC		1	154680	30/12/2023			
NS		1	154680	30/12/2023			
NC		1	154681	30/12/2023			
ND		2	158134	02/01/2024			
OB		110	158134	02/01/2024			
NS		28	158134	02/01/2024			
OB		46	158134	02/01/2024			
NS		51	158134	03/01/2024			
OB		6	152430	02/01/2024			
OB		2	152426	02/01/2024			
OB		2	154681	02/01/2024			
NS		2	154681	02/01/2024			
NS		1	154681	03/01/2024			
PF		2	158134	02/01/2024			
NS		14	158134	02/01/2024			
ND		13	158134	03/01/2024			
RO		12	158134	03/01/2024			
NS		14	158134	03/01/2024			
NS		30	158134	03/01/2024			
NS		2	158392	02/01/2024			
NS		4	158392	04/01/2024			
NS		1	152420	03/01/2024			
ND		1	152420	03/01/2024			
RO		1	152420	03/01/2024			
NS		2	152420	03/01/2024			
NS		3	152430	03/01/2024			
ND		1	152430	03/01/2024			
RO		1	152430	03/01/2024			
PF		1	152430	03/01/2024			
NS		4	152430	03/01/2024			
ND		1	152430	03/01/2024			
RO		1	152430	03/01/2024			
PF		1	152430	03/01/2024			
NS		4	152426	03/01/2024			
NS		2	152426	04/01/2024			
NS		3	152426	04/01/2024			
NS		3	158393	02/01/2024			
ND		1	158393	02/01/2024			
RO		1	158393	02/01/2024			
NS		1	158393	02/01/2024			
ND		1	158393	03/01/2024			
RO		1	158393	03/01/2024			
NS		1	158393	03/01/2024			
NS		3	158393	04/01/2024			
ND		1	154679	02/01/2024			
RO		1	154679	02/01/2024			
NS		1	154679	02/01/2024			
NS		1	154679	04/01/2024			
NS		3	158394	02/01/2024			
ND		2	158394	03/01/2024			
NS		2	154680	03/01/2024			
