documento,numero,servidor,data,,
N O T A D E D O T A C A O,2025NS023626,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023625,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023624,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023623,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023622,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023621,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023620,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023619,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023618,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023617,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023616,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023615,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023614,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023613,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023612,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023611,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023610,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023609,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023608,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023607,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023606,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023605,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023604,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023603,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023602,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023601,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023600,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023599,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023598,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023597,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023596,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023595,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023594,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023593,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023592,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023591,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023590,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023589,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023588,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023587,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023586,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023585,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023584,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023583,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023582,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023581,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023580,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023579,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023578,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023577,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023576,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023575,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023574,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023573,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023572,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023571,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023570,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023569,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023568,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023567,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023566,SRV-03,26/09/2023,,
